#sl_no Z X M/M_Sun L/L_Sun T_eff
1 0.013 0.71847 5.24807 2818.38293 6000.0
2 0.013 0.71847 4.3401 1154.78198 6525.0
3 0.013 0.71847 8.4382 10746.07828 7312.5
4 0.013 0.71847 5.77099 1804.05594 4162.5
5 0.013 0.71847 3.11261 242.31204 6131.25
6 0.013 0.71847 3.76379 591.39139 4556.25
7 0.013 0.71847 7.49355 4922.52012 7115.625
8 0.013 0.71847 4.88723 1032.91004 5671.875
9 0.013 0.71847 10.44871 36649.0313 7771.875
10 0.013 0.71847 3.38235 358.01914 4457.8125
11 0.013 0.71847 4.08996 873.78835 6032.8125
12 0.013 0.71847 6.2711 6505.50852 4589.0625
13 0.013 0.71847 5.18613 2665.51573 4064.0625
14 0.013 0.71847 8.33861 10163.2182 5901.5625
15 0.013 0.71847 5.70287 1706.20516 6951.5625
16 0.013 0.71847 9.84649 17750.83348 5048.4375
17 0.013 0.71847 10.32538 14201.8117 4917.1875
18 0.013 0.71847 6.42179 3724.72102 5704.6875
19 0.013 0.71847 9.4457 12353.695 5655.46875
20 0.013 0.71847 4.01776 1327.53774 4342.96875
21 0.013 0.71847 10.89204 24122.47556 4211.71875
22 0.013 0.71847 8.19142 6326.62182 7624.21875
23 0.013 0.71847 5.73683 4527.50955 5983.59375
24 0.013 0.71847 4.7443 1855.06604 5458.59375
25 0.013 0.71847 3.56798 486.52972 4146.09375
26 0.013 0.71847 5.21701 2898.07336 7296.09375
27 0.013 0.71847 3.09419 389.25516 5852.34375
28 0.013 0.71847 3.74151 950.02356 7427.34375
29 0.013 0.71847 4.47086 803.67068 4835.15625
30 0.013 0.71847 9.55852 28515.31182 6935.15625
31 0.013 0.71847 6.85513 5983.4701 6278.90625
32 0.013 0.71847 7.36128 8361.1425 5425.78125
33 0.013 0.71847 4.16345 575.12947 5950.78125
34 0.013 0.71847 8.90129 20406.36381 8050.78125
35 0.013 0.71847 5.80535 4281.94047 7394.53125
36 0.013 0.71847 4.80096 1754.4485 7919.53125
37 0.013 0.71847 3.61059 460.14067 3982.03125
38 0.013 0.71847 5.27932 2740.88381 5032.03125
39 0.013 0.71847 3.29319 298.67255 5433.98438
40 0.013 0.71847 3.98215 728.94593 8058.98437
41 0.013 0.71847 6.10579 3473.924 5302.73438
42 0.013 0.71847 5.04943 1423.37821 5827.73437
43 0.013 0.71847 3.79745 373.31059 6090.23438
44 0.013 0.71847 8.11881 13245.55964 3990.23438
45 0.013 0.71847 5.55255 2223.66987 7140.23437
46 0.013 0.71847 4.70224 1018.60971 6943.35938
47 0.013 0.71847 10.05321 36141.63641 4843.35938
48 0.013 0.71847 6.55662 4854.3693 4187.10938
49 0.013 0.71847 3.4126 616.65046 6254.29688
50 0.013 0.71847 8.82238 8964.76816 6779.29687
51 0.013 0.71847 3.25433 315.80141 7960.54687
52 0.013 0.71847 3.93515 770.75094 5335.54688
53 0.013 0.71847 9.93456 15657.64934 7763.67188
54 0.013 0.71847 7.47134 4106.54478 6976.17188
55 0.013 0.71847 10.41774 19570.48383 6319.92188
56 0.013 0.71847 7.83472 5132.76715 5532.42188
57 0.013 0.71847 4.40499 634.0864 5056.64062
58 0.013 0.71847 9.41771 22498.23442 7156.64063
59 0.013 0.71847 6.75414 3021.85372 7812.89062
60 0.013 0.71847 3.5574 453.77016 6566.01562
61 0.013 0.71847 4.30163 1107.48012 3941.01562
62 0.013 0.71847 5.99802 5277.89733 6697.26562
63 0.013 0.71847 4.9603 2162.52401 6172.26562
64 0.013 0.71847 7.9755 8245.38497 8009.76563
65 0.013 0.71847 5.45454 1384.23854 4859.76563
66 0.013 0.71847 9.53019 9746.9152 4236.32813
67 0.013 0.71847 7.16723 6239.03163 5023.82813
68 0.013 0.71847 10.98947 29733.23665 5680.07812
69 0.013 0.71847 5.51968 3572.15 3908.20312
70 0.013 0.71847 4.56472 1463.62456 4433.20312
71 0.013 0.71847 8.87491 13620.08091 5220.70313
72 0.013 0.71847 6.06966 2286.54466 6270.70312
73 0.013 0.71847 6.36486 6975.16824 6139.45312
74 0.013 0.71847 3.59989 479.79386 6664.45312
75 0.013 0.71847 7.00944 4433.81271 6069.72656
76 0.013 0.71847 10.74753 33010.51834 6725.97656
77 0.013 0.71847 5.66071 3172.9618 7054.10156
78 0.013 0.71847 4.68135 1300.06433 7579.10156
79 0.013 0.71847 3.52064 832.17534 6791.60156
80 0.013 0.71847 9.10167 12098.0352 6266.60156
81 0.013 0.71847 3.05314 272.79716 7185.35156
82 0.013 0.71847 3.69187 665.79395 5610.35156
83 0.013 0.71847 9.65834 19984.05396 4002.53906
84 0.013 0.71847 6.92672 4193.32568 4658.78906
85 0.013 0.71847 3.47908 322.47503 5511.91406
86 0.013 0.71847 7.43815 11441.84588 7611.91406
87 0.013 0.71847 4.20693 787.03871 7086.91406
88 0.013 0.71847 4.8511 2400.88354 5118.16406
89 0.013 0.71847 7.79991 9154.21469 4855.66406
90 0.013 0.71847 5.33445 1536.81324 8005.66406
91 0.013 0.71847 3.33747 547.7397 5200.19531
92 0.013 0.71847 8.62816 7962.95422 5725.19531
93 0.013 0.71847 3.18268 438.22709 4806.44531
94 0.013 0.71847 3.84851 1069.54539 6381.44531
95 0.013 0.71847 4.33367 1195.73989 5397.07031
96 0.013 0.71847 10.68392 21727.59807 5265.82031
97 0.013 0.71847 8.0349 5698.5153 6578.32031
98 0.013 0.71847 7.22062 7531.04892 4379.88281
99 0.013 0.71847 4.08389 518.03067 4904.88281
100 0.013 0.71847 8.73121 18380.4216 7004.88281
101 0.013 0.71847 6.2618 3856.82975 6348.63281
102 0.013 0.71847 5.17844 1580.26699 6873.63281
103 0.013 0.71847 3.89448 414.45794 5036.13281
104 0.013 0.71847 8.32625 14705.5228 7136.13281
105 0.013 0.71847 5.69442 2468.76908 3986.13281
106 0.013 0.71847 4.59872 904.77995 5889.25781
107 0.013 0.71847 9.83188 32102.80411 7989.25781
108 0.013 0.71847 6.41227 6736.24647 7333.00781
109 0.013 0.71847 4.37243 1146.76032 7997.46094
110 0.013 0.71847 6.70421 5465.09425 5241.21094
111 0.013 0.71847 7.54936 9545.20272 6488.08594
112 0.013 0.71847 4.26983 656.57623 7013.08594
113 0.013 0.71847 9.12873 23296.20376 4913.08594
114 0.013 0.71847 5.95368 3129.03309 4256.83594
115 0.013 0.71847 4.92363 1282.06533 4781.83594
116 0.013 0.71847 3.70284 336.24835 7144.33594
117 0.013 0.71847 7.91654 11930.54151 5044.33594
118 0.013 0.71847 5.41421 2002.9041 6094.33594
119 0.013 0.71847 9.68705 14103.15913 6717.77344
120 0.013 0.71847 7.2852 3698.84733 8030.27344
121 0.013 0.71847 3.48943 694.23085 7308.39844
122 0.013 0.71847 9.02098 10092.61964 7833.39844
123 0.013 0.71847 3.02607 355.53217 6914.64844
124 0.013 0.71847 3.65914 867.7186 4289.64844
125 0.013 0.71847 3.30789 408.7199 7620.11719
126 0.013 0.71847 3.99992 997.52958 4995.11719
127 0.013 0.71847 6.13304 4753.90809 7751.36719
128 0.013 0.71847 5.07196 1947.82879 7226.36719
129 0.013 0.71847 3.15447 510.85869 6438.86719
130 0.013 0.71847 8.15503 7426.7838 6963.86719
131 0.013 0.71847 10.09807 25328.72223 6110.74219
132 0.013 0.71847 6.58587 3402.03111 6766.99219
133 0.013 0.71847 4.45099 1647.76218 5487.30469
134 0.013 0.71847 8.6538 15333.61417 4174.80469
135 0.013 0.71847 5.91844 2574.21331 7324.80469
136 0.013 0.71847 3.19214 221.31942 5093.55469
137 0.013 0.71847 6.82468 7852.70949 7193.55469
138 0.013 0.71847 3.85995 540.15641 7718.55469
139 0.013 0.71847 7.32857 5619.62106 3977.92969
140 0.013 0.71847 10.21867 26781.32324 4634.17969
141 0.013 0.71847 3.27127 306.04904 6043.06641
142 0.013 0.71847 3.95564 746.94911 4468.06641
143 0.013 0.71847 6.06515 5561.16801 6174.31641
144 0.013 0.71847 5.01582 2278.5891 6699.31641
145 0.013 0.71847 8.06477 8687.92405 7486.81641
146 0.013 0.71847 5.51559 1458.53218 4336.81641
147 0.013 0.71847 9.98629 18966.12094 7683.69141
148 0.013 0.71847 10.47199 15174.12005 6502.44141
149 0.013 0.71847 6.51297 3979.72915 7289.94141
150 0.013 0.71847 5.45049 3366.64455 4435.25391
151 0.013 0.71847 4.5075 1379.42237 3910.25391
152 0.013 0.71847 8.76366 12836.51893 5747.75391
153 0.013 0.71847 5.99357 2154.99996 6797.75391
154 0.013 0.71847 3.23266 289.44914 4566.50391
155 0.013 0.71847 3.90895 706.43509 6141.50391
156 0.013 0.71847 7.42161 4704.45984 5550.87891
157 0.013 0.71847 4.84031 987.15367 7257.12891
158 0.013 0.71847 10.3484 35025.53403 5157.12891
159 0.013 0.71847 4.42793 858.69294 6420.41016
160 0.013 0.71847 6.78932 6393.12051 4714.16016
161 0.013 0.71847 7.6452 7147.4379 8061.03516
162 0.013 0.71847 9.24461 17444.17322 5436.03516
163 0.013 0.71847 6.02926 3660.3734 5829.78516
164 0.013 0.71847 4.98613 1499.77252 5304.78516
165 0.013 0.71847 3.74985 393.34659 6617.28516
166 0.013 0.71847 8.01703 13956.46371 4517.28516
167 0.013 0.71847 5.48294 2343.01674 7667.28516
168 0.013 0.71847 9.57982 11806.44479 7240.72266
169 0.013 0.71847 4.07481 1268.7298 6978.22266
170 0.013 0.71847 8.30773 6046.36194 5009.47266
171 0.013 0.71847 3.4508 581.17462 6781.34766
172 0.013 0.71847 8.92113 8449.02588 6256.34766
173 0.013 0.71847 8.53265 10708.68954 4148.14453
174 0.013 0.71847 5.83558 1797.7791 7298.14453
175 0.013 0.71847 3.14745 377.23443 5329.39453
176 0.013 0.71847 3.80591 920.68555 7954.39453
177 0.013 0.71847 10.07561 14964.03889 5132.51953
178 0.013 0.71847 4.2857 1608.04733 4870.01953
179 0.013 0.71847 10.56566 18703.54066 4738.76953
180 0.013 0.71847 3.42021 255.3172 8052.83203
181 0.013 0.71847 7.31228 9058.99621 5952.83203
182 0.013 0.71847 4.13574 623.13203 5427.83203
183 0.013 0.71847 8.84205 22109.5589 7527.83203
184 0.013 0.71847 6.34129 2969.64871 7921.58203
185 0.013 0.71847 5.24418 1216.76043 7396.58203
186 0.013 0.71847 8.43194 11322.83238 6609.08203
187 0.013 0.71847 5.7667 1900.88165 5559.08203
188 0.013 0.71847 4.6571 1088.34749 4312.20703
189 0.013 0.71847 6.49367 5186.71731 6805.95703
190 0.013 0.71847 9.4387 9315.14143 6855.17578
191 0.013 0.71847 7.09843 5962.65186 7642.67578
192 0.013 0.71847 10.88396 28416.09874 7248.92578
193 0.013 0.71847 5.73257 4267.04235 6527.05078
194 0.013 0.71847 4.74078 1748.34426 6002.05078
195 0.013 0.71847 9.21721 16269.6029 7839.55078
196 0.013 0.71847 6.30376 2731.34747 4689.55078
197 0.013 0.71847 3.09189 234.82912 6658.30078
198 0.013 0.71847 3.73873 573.12843 4033.30078
199 0.013 0.71847 4.46754 677.49829 7675.48828
200 0.013 0.71847 9.55143 24038.54643 5575.48828
201 0.013 0.71847 6.85004 3228.74096 5181.73828
202 0.013 0.71847 3.44057 387.90082 3934.86328
203 0.013 0.71847 4.16036 946.71815 6559.86328
204 0.013 0.71847 5.80104 4511.75702 4066.11328
205 0.013 0.71847 4.7974 1848.61172 4591.11328
206 0.013 0.71847 7.71358 7048.48375 5378.61328
207 0.013 0.71847 5.27541 1183.30228 6428.61328
208 0.013 0.71847 9.31347 16846.6546 6637.79297
209 0.013 0.71847 6.67938 3534.99393 6244.04297
210 0.013 0.71847 3.51802 339.78263 7097.16797
211 0.013 0.71847 7.5214 12055.94261 4997.16797
212 0.013 0.71847 4.25401 829.27996 5522.16797
213 0.013 0.71847 4.90539 2529.74165 7753.41797
214 0.013 0.71847 7.88722 9645.53168 6440.91797
215 0.013 0.71847 5.39416 1619.29573 5390.91797
216 0.013 0.71847 7.25822 5222.99875 4504.98047
217 0.013 0.71847 5.20541 1095.96055 6211.23047
218 0.013 0.71847 5.58975 2990.42161 5489.35547
219 0.013 0.71847 4.62267 1225.27175 4964.35547
220 0.013 0.71847 3.4765 784.30037 4176.85547
221 0.013 0.71847 8.98758 11402.03637 4701.85547
222 0.013 0.71847 3.01486 257.10316 5620.60547
223 0.013 0.71847 3.64559 627.49089 7195.60547
224 0.013 0.71847 3.335 223.6457 4915.13672
225 0.013 0.71847 7.1301 7935.24878 7015.13672
226 0.013 0.71847 4.0327 545.83395 6490.13672
227 0.013 0.71847 8.62176 19366.91948 4390.13672
228 0.013 0.71847 6.18331 4063.83014 4783.88672
229 0.013 0.71847 5.11353 1665.0817 4258.88672
230 0.013 0.71847 3.84566 436.70237 7671.38672
231 0.013 0.71847 8.22187 15494.78473 5571.38672
232 0.013 0.71847 5.62303 2601.27069 6621.38672
233 0.013 0.71847 10.18083 27062.81987 5374.51172
234 0.013 0.71847 6.63985 5678.68851 5768.26172
235 0.013 0.71847 4.48747 1968.30229 7047.94922
236 0.013 0.71847 3.37483 516.22829 7835.44922
237 0.013 0.71847 8.72473 7504.84621 7310.44922
238 0.013 0.71847 3.2183 413.01592 6391.69922
239 0.013 0.71847 3.89159 1008.01454 4816.69922
240 0.013 0.71847 9.82459 13107.78463 6194.82422
241 0.013 0.71847 4.17892 1408.5728 8032.32422
242 0.013 0.71847 10.30242 25594.95067 7901.07422
243 0.013 0.71847 7.748 6712.8091 3963.57422
244 0.013 0.71847 9.34115 16613.4177 4086.62109
245 0.013 0.71847 6.38852 2789.06724 7236.62109
246 0.013 0.71847 7.02507 4357.21494 5399.12109
247 0.013 0.71847 10.77148 20765.09797 5792.87109
248 0.013 0.71847 8.10075 5446.0796 6055.37109
249 0.013 0.71847 3.52848 654.29181 5727.24609
250 0.013 0.71847 9.12195 9511.99218 5202.24609
251 0.013 0.71847 3.05994 335.07844 4283.49609
252 0.013 0.71847 3.7001 817.79883 6908.49609
253 0.013 0.71847 4.52761 966.72452 5366.30859
254 0.013 0.71847 6.94215 4607.10101 7860.05859
255 0.013 0.71847 3.48684 283.45899 7006.93359
256 0.013 0.71847 7.45473 10057.50447 4906.93359
257 0.013 0.71847 4.2163 691.81541 4381.93359
258 0.013 0.71847 9.01429 24546.53719 6481.93359
259 0.013 0.71847 5.87904 3296.97181 6875.68359
260 0.013 0.71847 4.86191 1350.87522 6350.68359
261 0.013 0.71847 3.65642 354.29517 5563.18359
262 0.013 0.71847 7.8173 12570.86708 7663.18359
263 0.013 0.71847 5.34634 2110.40222 4513.18359
264 0.013 0.71847 4.3952 1552.96658 7056.15234
265 0.013 0.71847 8.54532 14451.47279 6793.65234
266 0.013 0.71847 5.84425 2426.11906 5743.65234
267 0.013 0.71847 3.15213 208.58694 7712.40234
268 0.013 0.71847 6.73913 7400.94385 5612.40234
269 0.013 0.71847 3.81157 509.08126 5087.40234
270 0.013 0.71847 7.58868 6619.87226 6596.77734
271 0.013 0.71847 10.58135 31548.20174 6203.02734
272 0.013 0.71847 3.34491 430.65635 4988.96484
273 0.013 0.71847 4.04469 1051.06811 7613.96484
274 0.013 0.71847 6.20169 5009.05568 5120.21484
275 0.013 0.71847 5.12873 2052.37095 5645.21484
276 0.013 0.71847 3.18977 538.27704 4857.71484
277 0.013 0.71847 8.24631 7825.38763 4332.71484
278 0.013 0.71847 9.7375 21352.23592 4529.58984
279 0.013 0.71847 6.35071 2867.92876 4135.83984
280 0.013 0.71847 9.28931 10840.12224 6458.34961
281 0.013 0.71847 3.95124 1164.88802 7770.84961
282 0.013 0.71847 10.7117 21166.99366 7639.59961
283 0.013 0.71847 8.05579 5551.48511 4227.09961
284 0.013 0.71847 4.66574 2034.56552 6786.47461
285 0.013 0.71847 3.5089 533.6072 8098.97461
286 0.013 0.71847 5.13063 3178.49608 4948.97461
287 0.013 0.71847 3.04296 426.92018 6130.22461
288 0.013 0.71847 4.50248 881.43528 7213.03711
289 0.013 0.71847 9.62614 31274.50393 5113.03711
290 0.013 0.71847 6.90362 6562.44127 5506.78711
291 0.013 0.71847 7.41335 7336.73664 6753.66211
292 0.013 0.71847 4.1929 504.6647 6228.66211
293 0.013 0.71847 8.96426 17906.17933 4128.66211
294 0.013 0.71847 5.84642 3757.3178 4522.41211
295 0.013 0.71847 4.83492 1539.49375 3997.41211
296 0.013 0.71847 3.63613 403.76431 7934.91211
297 0.013 0.71847 7.77391 14326.0984 5834.91211
298 0.013 0.71847 5.31667 2405.07116 6884.91211
299 0.013 0.71847 5.34832 3268.36879 5752.88086
300 0.013 0.71847 4.42301 1339.15564 5227.88086
301 0.013 0.71847 8.59939 12461.80797 4440.38086
302 0.013 0.71847 5.88122 2092.09333 7590.38086
303 0.013 0.71847 3.17207 280.99983 5884.13086
304 0.013 0.71847 3.83568 685.81354 7459.13086
305 0.013 0.71847 7.63669 4567.1319 4768.50586
306 0.013 0.71847 4.98058 958.33766 6474.75586
307 0.013 0.71847 10.6483 34003.10329 4374.75586
308 0.013 0.71847 3.36608 332.17145 7360.69336
309 0.013 0.71847 4.07028 810.70398 5785.69336
310 0.013 0.71847 6.24093 6035.83424 7491.94336
311 0.013 0.71847 5.16118 2473.0751 8016.94336
312 0.013 0.71847 8.29849 9429.47047 6179.44336
313 0.013 0.71847 5.67543 1583.02329 5129.44336
314 0.013 0.71847 9.79911 20584.94944 6901.31836
315 0.013 0.71847 10.2757 16469.28726 7295.06836
316 0.013 0.71847 6.39089 4319.41373 6507.56836
317 0.013 0.71847 4.3838 735.32527 6893.11523
318 0.013 0.71847 9.3724 26090.32519 4793.11523
319 0.013 0.71847 8.52316 6842.73139 7155.61523
320 0.013 0.71847 6.72165 3504.32593 4399.36523
321 0.013 0.71847 3.54028 421.00959 5252.49023
322 0.013 0.71847 4.28093 1027.52404 7877.49023
323 0.013 0.71847 5.96916 4896.85216 5383.74023
324 0.013 0.71847 4.93643 2006.39757 5908.74023
325 0.013 0.71847 7.93712 7650.09789 4071.24023
326 0.013 0.71847 5.42829 1284.30151 7221.24023
327 0.013 0.71847 7.30414 5788.59603 6860.30273
328 0.013 0.71847 5.62512 4142.48307 7844.67773
329 0.013 0.71847 4.65192 1697.30833 7319.67773
330 0.013 0.71847 9.04444 15794.67675 6532.17773
331 0.013 0.71847 6.1856 2651.61668 5482.17773
332 0.013 0.71847 3.03394 227.97422 7975.92773
333 0.013 0.71847 3.66865 556.39823 5350.92773
334 0.013 0.71847 3.31649 262.07924 6745.45898
335 0.013 0.71847 7.09053 9298.92226 4645.45898
336 0.013 0.71847 4.01032 639.63559 4120.45898
337 0.013 0.71847 6.14899 3048.29938 6614.20898
338 0.013 0.71847 5.08515 1248.98613 6089.20898
339 0.013 0.71847 10.87186 44315.70036 3989.20898
340 0.013 0.71847 8.17624 11622.71576 7926.70898
341 0.013 0.71847 5.59183 1951.22619 4776.70898
342 0.013 0.71847 4.7355 1117.17219 5104.83398
343 0.013 0.71847 6.603 5324.08668 7598.58398
344 0.013 0.71847 3.3561 676.31866 5990.77148
345 0.013 0.71847 8.67631 9832.21501 5465.77148
346 0.013 0.71847 3.20044 346.35891 4022.02148
347 0.013 0.71847 3.86999 845.33017 6647.02148
348 0.013 0.71847 9.77007 13739.27661 4350.14648
349 0.013 0.71847 4.15573 1476.43342 5662.64648
350 0.013 0.71847 10.24525 17172.71124 5531.39648
351 0.013 0.71847 7.705 4503.90133 6318.89648
352 0.013 0.71847 4.36432 1807.20257 7832.37305
353 0.013 0.71847 3.28221 473.97653 7044.87305
354 0.013 0.71847 8.4853 6890.59677 6519.87305
355 0.013 0.71847 3.12998 379.21179 7176.12305
356 0.013 0.71847 3.78479 925.51154 5601.12305
357 0.013 0.71847 10.01969 12034.95126 7504.24805
358 0.013 0.71847 4.26191 1293.28528 6716.74805
359 0.013 0.71847 10.50702 23500.07974 6585.49805
360 0.013 0.71847 7.90186 6163.38555 5272.99805
361 0.013 0.71847 7.2717 8145.41256 7799.56055
362 0.013 0.71847 4.11278 560.29028 7274.56055
363 0.013 0.71847 8.79297 19879.84921 5174.56055
364 0.013 0.71847 6.3061 4171.46002 5568.31055
365 0.013 0.71847 5.21508 1709.18112 5043.31055
366 0.013 0.71847 3.92203 448.26836 6880.81055
367 0.013 0.71847 8.38515 15905.1616 4780.81055
368 0.013 0.71847 5.7347 2670.16492 7930.81055
369 0.013 0.71847 4.63125 782.93478 6158.93555
370 0.013 0.71847 9.90144 27779.57428 4058.93555
371 0.013 0.71847 3.02046 164.28601 6552.68555
372 0.013 0.71847 6.45763 5829.08765 4452.68555
373 0.013 0.71847 7.14334 5070.53414 5814.4043
374 0.013 0.71847 5.12302 1063.96835 7520.6543
375 0.013 0.71847 10.95283 37751.02179 5420.6543
376 0.013 0.71847 5.76884 2903.12818 4698.7793
377 0.013 0.71847 4.77077 1189.50483 4173.7793
378 0.013 0.71847 3.58789 761.40585 4961.2793
379 0.013 0.71847 9.27553 11069.1994 5486.2793
380 0.013 0.71847 3.11146 249.59806 4830.0293
381 0.013 0.71847 3.76239 609.17379 6405.0293
382 0.013 0.71847 9.61186 18284.57882 7947.2168
383 0.013 0.71847 6.89339 3836.71872 7553.4668
384 0.013 0.71847 3.46234 368.78433 6306.5918
385 0.013 0.71847 4.18668 900.06207 4731.5918
386 0.013 0.71847 7.76238 10468.81345 7225.3418
387 0.013 0.71847 5.30878 1757.50861 4075.3418
388 0.013 0.71847 3.29197 467.41447 4198.38867
389 0.013 0.71847 3.98067 1140.78066 6823.38867
390 0.013 0.71847 6.10353 5436.59709 4329.63867
391 0.013 0.71847 5.04755 2227.5484 4854.63867
392 0.013 0.71847 8.11579 8493.31338 5117.13867
393 0.013 0.71847 5.55049 1425.86086 6167.13867
394 0.013 0.71847 10.04948 23174.72815 5839.01367
395 0.013 0.71847 6.55418 3112.71708 5445.26367
396 0.013 0.71847 5.48498 3679.56008 6790.57617
397 0.013 0.71847 4.53602 1507.63391 6265.57617
398 0.013 0.71847 8.81911 14029.61969 7578.07617
399 0.013 0.71847 6.03149 2355.29819 4428.07617
400 0.013 0.71847 3.25312 202.49807 6921.82617
401 0.013 0.71847 6.95504 7184.90282 4821.82617
402 0.013 0.71847 3.93369 494.22066 4296.82617
403 0.013 0.71847 8.41007 17535.61083 6396.82617
404 0.013 0.71847 7.46857 6426.6315 7906.20117
405 0.013 0.71847 4.87093 863.19397 5412.45117
406 0.013 0.71847 10.41387 30627.27785 7512.45117
407 0.013 0.71847 4.40336 992.32806 4050.73242
408 0.013 0.71847 6.75164 4729.11934 6544.48242
409 0.013 0.71847 3.55608 290.96635 7791.35742
410 0.013 0.71847 7.60277 10323.87585 5691.35742
