#sl_no Z X M L T_eff
1 0.013 0.71847 2.38421 184.3423 7640.625
2 0.013 0.71847 2.18993 93.89798 4342.96875
3 0.013 0.71847 2.85281 161.07615 5458.59375
4 0.013 0.71847 2.90721 147.22066 7919.53125
5 0.013 0.71847 2.65774 236.0733 7566.79688
6 0.013 0.71847 2.37297 137.61693 6451.17187
7 0.013 0.71847 2.021 83.91278 7287.89063
8 0.013 0.71847 2.68295 109.90454 4433.20312
9 0.013 0.71847 2.95566 244.17169 5118.16406
10 0.013 0.71847 2.56526 195.002 4412.69531
11 0.013 0.71847 2.9837 400.44148 6250.19531
12 0.013 0.71847 2.045 66.26574 6381.44531
13 0.013 0.71847 2.47016 79.32573 5397.07031
14 0.013 0.71847 2.27961 116.25983 7505.27344
15 0.013 0.71847 2.75355 285.79504 6520.89844
16 0.013 0.71847 2.17447 59.21898 4995.11719
17 0.013 0.71847 2.5774 133.05262 5487.30469
18 0.013 0.71847 2.62965 99.88763 3910.25391
19 0.013 0.71847 2.3479 171.35103 5025.87891
20 0.013 0.71847 2.2396 87.28065 6978.22266
21 0.013 0.71847 2.70522 214.55714 8093.84766
22 0.013 0.71847 2.00911 52.03656 7954.39453
23 0.013 0.71847 2.4268 127.91857 4870.01953
24 0.013 0.71847 2.84945 146.39537 6002.05078
25 0.013 0.71847 2.06684 93.37161 5706.73828
26 0.013 0.71847 2.90378 160.1732 4591.11328
27 0.013 0.71847 2.61109 177.22915 7047.94922
28 0.013 0.71847 2.08154 60.22616 4816.69922
29 0.013 0.71847 2.33132 103.31423 8032.32422
30 0.013 0.71847 2.80274 259.74714 4939.74609
31 0.013 0.71847 2.52619 120.92596 7056.15234
32 0.013 0.71847 2.21332 64.4291 7613.96484
33 0.013 0.71847 2.13252 76.05075 7770.84961
34 0.013 0.71847 2.77804 186.95131 6786.47461
35 0.013 0.71847 2.55167 95.22693 5227.88086
36 0.013 0.71847 2.45707 163.35588 4243.50586
37 0.013 0.71847 2.00555 106.55845 4924.36523
38 0.013 0.71847 2.76495 139.56464 7319.67773
39 0.013 0.71847 2.58807 273.99595 4678.27148
40 0.013 0.71847 2.06319 45.34132 6647.02148
41 0.013 0.71847 2.31077 111.46003 5662.64648
42 0.013 0.71847 2.49802 154.4261 7832.37305
43 0.013 0.71847 2.9055 317.11786 5994.87305
44 0.013 0.71847 2.40541 90.02139 6716.74805
45 0.013 0.71847 2.08769 123.32879 8078.4668
46 0.013 0.71847 2.93307 303.17225 6962.8418
47 0.013 0.71847 2.15785 73.52839 6823.38867
48 0.013 0.71847 2.65617 115.28361 6265.57617
49 0.013 0.71847 2.21986 131.9354 4608.54492
50 0.013 0.71847 2.68137 226.32698 5724.16992
51 0.013 0.71847 2.25952 99.04889 5135.5957
52 0.013 0.71847 2.72928 169.91222 4151.2207
53 0.013 0.71847 2.821 126.84445 5750.83008
54 0.013 0.71847 2.12499 80.90195 6505.51758
55 0.013 0.71847 2.37999 67.58246 5258.64258
56 0.013 0.71847 2.98547 198.87674 7489.89258
57 0.013 0.71847 2.54264 249.02344 6259.42383
58 0.013 0.71847 2.02697 41.20883 4028.17383
59 0.013 0.71847 2.44838 145.16611 7243.79883
60 0.013 0.71847 2.63431 205.69911 5197.11914
61 0.013 0.71847 2.10005 69.90084 7165.86914
62 0.013 0.71847 2.35206 83.67725 4081.49414
63 0.013 0.71847 2.71001 104.77645 6788.52539
64 0.013 0.71847 2.50097 153.56042 4696.72852
65 0.013 0.71847 2.27558 57.09417 4204.54102
66 0.013 0.71847 2.8545 345.01803 4073.29102
67 0.013 0.71847 2.17062 122.63743 6189.69727
68 0.013 0.71847 2.82767 301.47274 7305.32227
69 0.013 0.71847 2.09077 48.84755 4686.9873
70 0.013 0.71847 2.34167 120.0792 7640.1123
71 0.013 0.71847 2.03237 95.89844 6901.83105
72 0.013 0.71847 2.69804 150.35713 5359.64355
73 0.013 0.71847 2.51355 107.30986 7451.44043
74 0.013 0.71847 2.00378 36.46613 5220.19043
75 0.013 0.71847 2.42036 184.08341 6467.06543
76 0.013 0.71847 2.18154 85.70051 5531.90918
77 0.013 0.71847 2.84189 210.67277 4547.53418
78 0.013 0.71847 2.27088 142.13792 6586.01074
79 0.013 0.71847 2.743 243.82878 7701.63574
80 0.013 0.71847 2.20745 66.17268 4863.35449
81 0.013 0.71847 2.61649 124.19846 4305.54199
82 0.013 0.71847 2.1156 116.09656 5839.52637
83 0.013 0.71847 2.97228 285.39367 4723.90137
84 0.013 0.71847 2.53141 174.02057 5593.43262
85 0.013 0.71847 2.94434 357.35559 7955.93262
86 0.013 0.71847 2.01802 59.13581 7824.68262
87 0.013 0.71847 2.43757 101.44382 4477.80762
88 0.013 0.71847 2.48698 221.60577 4020.4834
89 0.013 0.71847 2.39478 129.1832 5004.8584
90 0.013 0.71847 2.07847 86.18363 4266.57715
91 0.013 0.71847 2.32789 71.99458 7482.20215
92 0.013 0.71847 2.92011 211.86041 5250.95215
93 0.013 0.71847 2.1687 51.38252 5390.40527
94 0.013 0.71847 2.3835 198.04001 4898.21777
95 0.013 0.71847 2.23103 92.19804 7113.06152
96 0.013 0.71847 2.69486 158.16001 6128.68652
97 0.013 0.71847 2.14325 109.13495 3950.75684
98 0.013 0.71847 2.79201 268.28035 5066.38184
99 0.013 0.71847 2.5645 136.6533 6920.28809
100 0.013 0.71847 2.46943 234.42025 8035.91309
101 0.013 0.71847 2.24688 60.82157 6428.10059
102 0.013 0.71847 2.8185 367.54254 6034.35059
103 0.013 0.71847 2.27894 167.3057 5944.11621
104 0.013 0.71847 2.57664 191.47166 7174.58496
105 0.013 0.71847 2.99694 393.19184 5337.08496
106 0.013 0.71847 2.05407 65.06606 5205.83496
107 0.013 0.71847 2.30057 77.8896 6058.95996
108 0.013 0.71847 2.99517 185.64222 3933.3252
109 0.013 0.71847 2.72525 118.40342 6656.7627
110 0.013 0.71847 2.59955 254.32878 5327.85645
111 0.013 0.71847 2.07234 42.08676 7559.10645
112 0.013 0.71847 2.32103 148.25881 4212.23145
113 0.013 0.71847 2.16231 105.81229 6320.43457
114 0.013 0.71847 2.81684 181.51442 7436.05957
115 0.013 0.71847 2.5389 84.50451 4564.96582
116 0.013 0.71847 2.44477 207.73271 5680.59082
117 0.013 0.71847 2.14705 53.29477 7218.67676
118 0.013 0.71847 2.69327 322.05835 7349.92676
119 0.013 0.71847 2.64287 143.34154 7710.86426
120 0.013 0.71847 2.25087 125.25017 5266.33301
121 0.013 0.71847 2.71882 307.89548 4281.95801
122 0.013 0.71847 2.5091 219.74497 6390.16113
123 0.013 0.71847 2.00023 74.67392 4421.41113
