#sl_no Z X M/M_Sun L/L_Sun T_eff T_inner N_total N_outer
1 0.013 0.71847 4.08996 873.78835 6032.8125 1d4 200 60
2 0.013 0.71847 4.08996 873.78835 6032.8125 5d4 200 60
3 0.013 0.71847 4.08996 873.78835 6032.8125 1d5 200 60
4 0.013 0.71847 4.08996 873.78835 6032.8125 5d5 200 60
5 0.013 0.71847 4.08996 873.78835 6032.8125 1d6 200 60
6 0.013 0.71847 4.08996 873.78835 6032.8125 1.5d6 200 60
7 0.013 0.71847 4.08996 873.78835 6032.8125 2d6 200 60
8 0.013 0.71847 4.08996 873.78835 6032.8125 2.5d6 200 60
9 0.013 0.71847 4.08996 873.78835 6032.8125 3d6 200 60
10 0.013 0.71847 4.08996 873.78835 6032.8125 3.5d6 200 60
11 0.013 0.71847 4.08996 873.78835 6032.8125 4d6 200 60
12 0.013 0.71847 4.08996 873.78835 6032.8125 2d6 150 40
13 0.013 0.71847 4.08996 873.78835 6032.8125 2d6 175 47
14 0.013 0.71847 4.08996 873.78835 6032.8125 2d6 200 53
15 0.013 0.71847 4.08996 873.78835 6032.8125 2d6 225 60
16 0.013 0.71847 4.08996 873.78835 6032.8125 2d6 250 67
17 0.013 0.71847 4.08996 873.78835 6032.8125 2d6 275 73
18 0.013 0.71847 4.08996 873.78835 6032.8125 2d6 300 80
19 0.013 0.71847 4.08996 873.78835 6032.8125 2d6 325 87
20 0.013 0.71847 4.08996 873.78835 6032.8125 2d6 350 93
21 0.013 0.71847 4.08996 873.78835 6032.8125 2d6 375 100
22 0.013 0.71847 4.08996 873.78835 6032.8125 2d6 400 107
23 0.013 0.71847 4.08996 873.78835 6032.8125 2d6 150 10
24 0.013 0.71847 4.08996 873.78835 6032.8125 2d6 150 20
25 0.013 0.71847 4.08996 873.78835 6032.8125 2d6 150 30
26 0.013 0.71847 4.08996 873.78835 6032.8125 2d6 150 40
27 0.013 0.71847 4.08996 873.78835 6032.8125 2d6 150 50
28 0.013 0.71847 4.08996 873.78835 6032.8125 2d6 150 60
29 0.013 0.71847 4.08996 873.78835 6032.8125 2d6 150 75
30 0.013 0.71847 4.08996 873.78835 6032.8125 2d6 150 113
31 0.013 0.71847 4.08996 873.78835 6032.8125 2d6 300 20
32 0.013 0.71847 4.08996 873.78835 6032.8125 2d6 300 40
33 0.013 0.71847 4.08996 873.78835 6032.8125 2d6 300 60
34 0.013 0.71847 4.08996 873.78835 6032.8125 2d6 300 80
35 0.013 0.71847 4.08996 873.78835 6032.8125 2d6 300 100
36 0.013 0.71847 4.08996 873.78835 6032.8125 2d6 300 120
37 0.013 0.71847 4.08996 873.78835 6032.8125 2d6 300 150
38 0.013 0.71847 4.08996 873.78835 6032.8125 2d6 300 225
39 0.00609 0.74541 7.79991 9154.21469 4855.66406 1d4 200 60
40 0.00609 0.74541 7.79991 9154.21469 4855.66406 5d4 200 60
41 0.00609 0.74541 7.79991 9154.21469 4855.66406 1d5 200 60
42 0.00609 0.74541 7.79991 9154.21469 4855.66406 5d5 200 60
43 0.00609 0.74541 7.79991 9154.21469 4855.66406 1d6 200 60
44 0.00609 0.74541 7.79991 9154.21469 4855.66406 1.5d6 200 60
45 0.00609 0.74541 7.79991 9154.21469 4855.66406 2d6 200 60
46 0.00609 0.74541 7.79991 9154.21469 4855.66406 2.5d6 200 60
47 0.00609 0.74541 7.79991 9154.21469 4855.66406 3d6 200 60
48 0.00609 0.74541 7.79991 9154.21469 4855.66406 3.5d6 200 60
49 0.00609 0.74541 7.79991 9154.21469 4855.66406 4d6 200 60
50 0.00609 0.74541 7.79991 9154.21469 4855.66406 2d6 150 40
51 0.00609 0.74541 7.79991 9154.21469 4855.66406 2d6 175 47
52 0.00609 0.74541 7.79991 9154.21469 4855.66406 2d6 200 53
53 0.00609 0.74541 7.79991 9154.21469 4855.66406 2d6 225 60
54 0.00609 0.74541 7.79991 9154.21469 4855.66406 2d6 250 67
55 0.00609 0.74541 7.79991 9154.21469 4855.66406 2d6 275 73
56 0.00609 0.74541 7.79991 9154.21469 4855.66406 2d6 300 80
57 0.00609 0.74541 7.79991 9154.21469 4855.66406 2d6 325 87
58 0.00609 0.74541 7.79991 9154.21469 4855.66406 2d6 350 93
59 0.00609 0.74541 7.79991 9154.21469 4855.66406 2d6 375 100
60 0.00609 0.74541 7.79991 9154.21469 4855.66406 2d6 400 107
61 0.00609 0.74541 7.79991 9154.21469 4855.66406 2d6 150 10
62 0.00609 0.74541 7.79991 9154.21469 4855.66406 2d6 150 20
63 0.00609 0.74541 7.79991 9154.21469 4855.66406 2d6 150 30
64 0.00609 0.74541 7.79991 9154.21469 4855.66406 2d6 150 40
65 0.00609 0.74541 7.79991 9154.21469 4855.66406 2d6 150 50
66 0.00609 0.74541 7.79991 9154.21469 4855.66406 2d6 150 60
67 0.00609 0.74541 7.79991 9154.21469 4855.66406 2d6 150 75
68 0.00609 0.74541 7.79991 9154.21469 4855.66406 2d6 150 113
69 0.00609 0.74541 7.79991 9154.21469 4855.66406 2d6 300 20
70 0.00609 0.74541 7.79991 9154.21469 4855.66406 2d6 300 40
71 0.00609 0.74541 7.79991 9154.21469 4855.66406 2d6 300 60
72 0.00609 0.74541 7.79991 9154.21469 4855.66406 2d6 300 80
73 0.00609 0.74541 7.79991 9154.21469 4855.66406 2d6 300 100
74 0.00609 0.74541 7.79991 9154.21469 4855.66406 2d6 300 120
75 0.00609 0.74541 7.79991 9154.21469 4855.66406 2d6 300 150
76 0.00609 0.74541 7.79991 9154.21469 4855.66406 2d6 300 225
77 0.0024 0.74541 10.86581 22794.2185 5663.15918 1d4 200 60
78 0.0024 0.74541 10.86581 22794.2185 5663.15918 5d4 200 60
79 0.0024 0.74541 10.86581 22794.2185 5663.15918 1d5 200 60
80 0.0024 0.74541 10.86581 22794.2185 5663.15918 5d5 200 60
81 0.0024 0.74541 10.86581 22794.2185 5663.15918 1d6 200 60
82 0.0024 0.74541 10.86581 22794.2185 5663.15918 1.5d6 200 60
83 0.0024 0.74541 10.86581 22794.2185 5663.15918 2d6 200 60
84 0.0024 0.74541 10.86581 22794.2185 5663.15918 2.5d6 200 60
85 0.0024 0.74541 10.86581 22794.2185 5663.15918 3d6 200 60
86 0.0024 0.74541 10.86581 22794.2185 5663.15918 3.5d6 200 60
87 0.0024 0.74541 10.86581 22794.2185 5663.15918 4d6 200 60
88 0.0024 0.74541 10.86581 22794.2185 5663.15918 2d6 150 40
89 0.0024 0.74541 10.86581 22794.2185 5663.15918 2d6 175 47
90 0.0024 0.74541 10.86581 22794.2185 5663.15918 2d6 200 53
91 0.0024 0.74541 10.86581 22794.2185 5663.15918 2d6 225 60
92 0.0024 0.74541 10.86581 22794.2185 5663.15918 2d6 250 67
93 0.0024 0.74541 10.86581 22794.2185 5663.15918 2d6 275 73
94 0.0024 0.74541 10.86581 22794.2185 5663.15918 2d6 300 80
95 0.0024 0.74541 10.86581 22794.2185 5663.15918 2d6 325 87
96 0.0024 0.74541 10.86581 22794.2185 5663.15918 2d6 350 93
97 0.0024 0.74541 10.86581 22794.2185 5663.15918 2d6 375 100
98 0.0024 0.74541 10.86581 22794.2185 5663.15918 2d6 400 107
99 0.0024 0.74541 10.86581 22794.2185 5663.15918 2d6 150 10
100 0.0024 0.74541 10.86581 22794.2185 5663.15918 2d6 150 20
101 0.0024 0.74541 10.86581 22794.2185 5663.15918 2d6 150 30
102 0.0024 0.74541 10.86581 22794.2185 5663.15918 2d6 150 40
103 0.0024 0.74541 10.86581 22794.2185 5663.15918 2d6 150 50
104 0.0024 0.74541 10.86581 22794.2185 5663.15918 2d6 150 60
105 0.0024 0.74541 10.86581 22794.2185 5663.15918 2d6 150 75
106 0.0024 0.74541 10.86581 22794.2185 5663.15918 2d6 150 113
107 0.0024 0.74541 10.86581 22794.2185 5663.15918 2d6 300 20
108 0.0024 0.74541 10.86581 22794.2185 5663.15918 2d6 300 40
109 0.0024 0.74541 10.86581 22794.2185 5663.15918 2d6 300 60
110 0.0024 0.74541 10.86581 22794.2185 5663.15918 2d6 300 80
111 0.0024 0.74541 10.86581 22794.2185 5663.15918 2d6 300 100
112 0.0024 0.74541 10.86581 22794.2185 5663.15918 2d6 300 120
113 0.0024 0.74541 10.86581 22794.2185 5663.15918 2d6 300 150
114 0.0024 0.74541 10.86581 22794.2185 5663.15918 2d6 300 225
