#sl_no Z X M L T_eff T_inner N_total N_outer
1 0.013 0.71847 0.38125 289.375 5212.5 1d4 200 60
2 0.00834 0.73032 0.52627 241.35742 6028.71094 1d4 200 60
3 0.00424 0.74073 0.9488 752.45361 5248.38867 1d4 200 60
4 0.013 0.71847 0.38125 289.375 5212.5 5d4 200 60
5 0.00834 0.73032 0.52627 241.35742 6028.71094 5d4 200 60
6 0.00424 0.74073 0.9488 752.45361 5248.38867 5d4 200 60
7 0.013 0.71847 0.38125 289.375 5212.5 1d5 200 60
8 0.00834 0.73032 0.52627 241.35742 6028.71094 1d5 200 60
9 0.00424 0.74073 0.9488 752.45361 5248.38867 1d5 200 60
10 0.013 0.71847 0.38125 289.375 5212.5 5d5 200 60
11 0.00834 0.73032 0.52627 241.35742 6028.71094 5d5 200 60
12 0.00424 0.74073 0.9488 752.45361 5248.38867 5d5 200 60
13 0.013 0.71847 0.38125 289.375 5212.5 1d6 200 60
14 0.00834 0.73032 0.52627 241.35742 6028.71094 1d6 200 60
15 0.00424 0.74073 0.9488 752.45361 5248.38867 1d6 200 60
16 0.013 0.71847 0.38125 289.375 5212.5 1.5d6 200 60
17 0.00834 0.73032 0.52627 241.35742 6028.71094 1.5d6 200 60
18 0.00424 0.74073 0.9488 752.45361 5248.38867 1.5d6 200 60
19 0.013 0.71847 0.38125 289.375 5212.5 2d6 200 60
20 0.00834 0.73032 0.52627 241.35742 6028.71094 2d6 200 60
21 0.00424 0.74073 0.9488 752.45361 5248.38867 2d6 200 60
22 0.013 0.71847 0.38125 289.375 5212.5 2.5d6 200 60
23 0.00834 0.73032 0.52627 241.35742 6028.71094 2.5d6 200 60
24 0.00424 0.74073 0.9488 752.45361 5248.38867 2.5d6 200 60
25 0.013 0.71847 0.38125 289.375 5212.5 3d6 200 60
26 0.00834 0.73032 0.52627 241.35742 6028.71094 3d6 200 60
27 0.00424 0.74073 0.9488 752.45361 5248.38867 3d6 200 60
28 0.013 0.71847 0.38125 289.375 5212.5 3.5d6 200 60
29 0.00834 0.73032 0.52627 241.35742 6028.71094 3.5d6 200 60
30 0.00424 0.74073 0.9488 752.45361 5248.38867 3.5d6 200 60
31 0.013 0.71847 0.38125 289.375 5212.5 4d6 200 60
32 0.00834 0.73032 0.52627 241.35742 6028.71094 4d6 200 60
33 0.00424 0.74073 0.9488 752.45361 5248.38867 4d6 200 60
34 0.013 0.71847 0.38125 289.375 5212.5 2d6 150 40
35 0.00834 0.73032 0.52627 241.35742 6028.71094 2d6 150 40
36 0.00424 0.74073 0.9488 752.45361 5248.38867 2d6 150 40
37 0.013 0.71847 0.38125 289.375 5212.5 2d6 175 47
